travelCode,user_id,departure,arrival,flightType,flight_price,flight_duration,distance,agency,flight_date,hotel_name,hotel_place,days,hotel_base,total_hotel,check_in,company,user_name,gender,age,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,totalDistance,fuelPolicy,bookingStatus,total_rent_price,total_price
27245,262,Brasilia (DF),Florianopolis (SC),firstClass,1576.97,1.66,637.56,Rainbow,04/23/2020,Hotel A,Florianopolis (SC),1,313.02,313.02,04/23/2020,4You,Ramon Santistevan,male,33,Christophertown,South Andrewhaven,Luxury,Enterprise,3.0,245.0,Partial,Pending,6165.0,8054.99
27387,263,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,06/18/2020,Hotel AF,Sao Paulo (SP),3,139.1,417.3,06/18/2020,4You,John Lewis,none,34,North Andrew,Martinezberg,SUV,Enterprise,1.0,94.0,Prepaid,Confirmed,1655.0,2519.03
27398,263,Recife (PE),Rio de Janeiro (RJ),economic,910.7,2.3,885.57,CloudFy,09-03-2020,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09-03-2020,4You,John Lewis,none,34,East Henry,Port Stephen,Hatchback,Avis,5.0,250.0,Full-to-Full,Confirmed,2476.0,3884.67
27435,263,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,05/20/2021,Hotel BD,Natal (RN),3,242.88,728.64,05/20/2021,4You,John Lewis,none,34,West Rhondaland,Port Chelsea,Hatchback,Budget,3.0,261.0,Full-to-Full,Confirmed,2466.0,3744.6
27448,263,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,08/19/2021,Hotel AU,Recife (PE),1,312.83,312.83,08/19/2021,4You,John Lewis,none,34,West Jacobport,Port Lauraland,Sedan,Avis,5.0,319.0,Full-to-Full,Pending,3852.0,4937.04
27509,264,Recife (PE),Brasilia (DF),economic,393.68,0.63,242.21,CloudFy,10/22/2020,Hotel BP,Brasilia (DF),3,247.62,742.86,10/22/2020,4You,Prince Webster,male,40,Seanshire,East Johnburgh,Sedan,Budget,5.0,429.0,Full-to-Full,Cancelled,4968.0,6104.54
27541,264,Brasilia (DF),Sao Paulo (SP),economic,533.8,0.67,257.81,Rainbow,06-03-2021,Hotel AF,Sao Paulo (SP),3,139.1,417.3,06-03-2021,4You,Prince Webster,male,40,East Kellyview,Frankmouth,Sedan,Avis,5.0,461.0,Full-to-Full,Cancelled,5281.0,6232.1
27552,264,Recife (PE),Salvador (BH),economic,842.11,2.05,788.55,CloudFy,08/19/2021,Hotel K,Salvador (BH),3,263.41,790.23,08/19/2021,4You,Prince Webster,male,40,Petersburgh,Jenniferville,Hatchback,Avis,4.0,100.0,Prepaid,Pending,1232.0,2864.34
27557,264,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,09/23/2021,Hotel BP,Brasilia (DF),1,247.62,247.62,09/23/2021,4You,Prince Webster,male,40,Mitchellberg,Theresaton,Sedan,Budget,1.0,227.0,Partial,Pending,2662.0,3867.3
27664,265,Recife (PE),Natal (RN),firstClass,628.96,0.58,222.67,Rainbow,02/20/2020,Hotel BD,Natal (RN),1,242.88,242.88,02/20/2020,4You,Patricia Ives,female,30,East Derek,Brownfort,SUV,Budget,4.0,474.0,Partial,Pending,6494.0,7365.84
27684,265,Brasilia (DF),Sao Paulo (SP),economic,538.95,0.67,257.81,CloudFy,07-09-2020,Hotel AF,Sao Paulo (SP),3,139.1,417.3,07-09-2020,4You,Patricia Ives,female,30,Gailport,Brandonfurt,Hatchback,Enterprise,1.0,321.0,Prepaid,Cancelled,2843.0,3799.25
27684,265,Brasilia (DF),Sao Paulo (SP),economic,538.95,0.67,257.81,CloudFy,07-09-2020,Hotel AF,Sao Paulo (SP),3,139.1,417.3,07-09-2020,4You,Patricia Ives,female,30,New Jennifer,South Jillside,Hatchback,Sixt,2.0,355.0,Partial,Pending,3173.0,4129.25
27750,266,Aracaju (SE),Natal (RN),firstClass,577.71,0.46,176.33,FlyingDrops,12-05-2019,Hotel BD,Natal (RN),3,242.88,728.64,12-05-2019,4You,Larry Decker,male,45,Robertoshire,Port Kenneth,Hatchback,Enterprise,4.0,263.0,Partial,Pending,2529.0,3835.35
27817,266,Recife (PE),Natal (RN),firstClass,628.96,0.58,222.67,Rainbow,03/18/2021,Hotel BD,Natal (RN),4,242.88,971.52,03/18/2021,4You,Larry Decker,male,45,New Susanport,North Baileyborough,Sedan,Avis,4.0,203.0,Full-to-Full,Confirmed,2620.0,4220.48
27864,266,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,02-10-2022,Hotel BW,Campo Grande (MS),1,60.39,60.39,02-10-2022,4You,Larry Decker,male,45,Bradyland,East Kimberly,Luxury,Enterprise,3.0,66.0,Prepaid,Cancelled,2592.0,3485.16
27875,266,Aracaju (SE),Brasilia (DF),premium,706.36,1.11,425.98,Rainbow,04/28/2022,Hotel BP,Brasilia (DF),3,247.62,742.86,04/28/2022,4You,Larry Decker,male,45,Port Jennifer,Port Deanna,SUV,Enterprise,2.0,349.0,Prepaid,Cancelled,4815.0,6264.22
27920,267,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,07/23/2020,Hotel AF,Sao Paulo (SP),4,139.1,556.4,07/23/2020,4You,Patricia Elwell,female,40,Lake Markshire,East Stacieshire,SUV,Enterprise,4.0,74.0,Prepaid,Cancelled,1673.0,2775.35
27987,267,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,0.48,183.37,CloudFy,11-04-2021,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,11-04-2021,4You,Patricia Elwell,female,40,Navarrotown,Port Dustin,SUV,Enterprise,4.0,178.0,Partial,Cancelled,2939.0,3562.94
27988,267,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,11-11-2021,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11-11-2021,4You,Patricia Elwell,female,40,Jeffreyville,Port Andrew,SUV,Budget,1.0,313.0,Full-to-Full,Confirmed,4267.0,5861.08
28098,268,Brasilia (DF),Recife (PE),firstClass,691.39,0.63,242.21,FlyingDrops,05/20/2021,Hotel AU,Recife (PE),3,312.83,938.49,05/20/2021,4You,Henry Warren,none,47,Lauraton,West Susanshire,Hatchback,Avis,4.0,332.0,Partial,Cancelled,3069.0,4698.88
28115,268,Recife (PE),Natal (RN),firstClass,628.96,0.58,222.67,Rainbow,09/16/2021,Hotel BD,Natal (RN),3,242.88,728.64,09/16/2021,4You,Henry Warren,none,47,Harrishaven,West Luis,Luxury,Hertz,5.0,485.0,Full-to-Full,Pending,11282.0,12639.6
28136,268,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,02-10-2022,Hotel BD,Natal (RN),4,242.88,971.52,02-10-2022,4You,Henry Warren,none,47,Port Joseph,West Jessebury,Luxury,Hertz,4.0,145.0,Full-to-Full,Cancelled,4344.0,5617.03
28146,268,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,04/21/2022,Hotel BD,Natal (RN),1,242.88,242.88,04/21/2022,4You,Henry Warren,none,47,Lake Alex,North Robertside,Luxury,Sixt,4.0,248.0,Prepaid,Confirmed,6381.0,6925.39
28201,269,Brasilia (DF),Aracaju (SE),firstClass,1287.52,1.11,425.98,FlyingDrops,10/31/2019,Hotel Z,Aracaju (SE),3,208.04,624.12,10/31/2019,4You,Sandra Banks,none,49,Lake Johnnyside,East Ginastad,Hatchback,Sixt,1.0,260.0,Full-to-Full,Pending,2366.0,4277.64
28337,271,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,03-04-2021,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,03-04-2021,4You,Scott Schreyer,male,63,Edwardfurt,New Laura,Sedan,Budget,2.0,208.0,Prepaid,Pending,2533.0,3514.62
28347,271,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,05/13/2021,Hotel Z,Aracaju (SE),2,208.04,416.08,05/13/2021,4You,Scott Schreyer,male,63,North Alexisport,Jeremyborough,Hatchback,Hertz,2.0,74.0,Prepaid,Pending,922.0,2001.31
28409,271,Recife (PE),Aracaju (SE),firstClass,1300.81,1.44,555.74,FlyingDrops,07/21/2022,Hotel Z,Aracaju (SE),4,208.04,832.16,07/21/2022,4You,Scott Schreyer,male,63,Wilsonview,Shannonside,Sedan,Hertz,5.0,72.0,Partial,Confirmed,1390.0,3522.97
28424,272,Brasilia (DF),Salvador (BH),firstClass,1665.24,1.76,676.56,Rainbow,10/31/2019,Hotel K,Salvador (BH),4,263.41,1053.64,10/31/2019,4You,Genevieve May,female,56,Lake Christina,Lesterville,SUV,Enterprise,3.0,175.0,Prepaid,Confirmed,2795.0,5513.88
28452,272,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,05/14/2020,Hotel BP,Brasilia (DF),4,247.62,990.48,05/14/2020,4You,Genevieve May,female,56,Huntermouth,Taylorborough,Hatchback,Sixt,5.0,404.0,Full-to-Full,Confirmed,3698.0,5647.77
28470,272,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,09/17/2020,Hotel Z,Aracaju (SE),3,208.04,624.12,09/17/2020,4You,Genevieve May,female,56,New Cassidy,Jessicaview,Luxury,Avis,4.0,236.0,Full-to-Full,Cancelled,6139.0,7750.19
28490,273,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,11/14/2019,Hotel Z,Aracaju (SE),1,208.04,208.04,11/14/2019,4You,John Evans,male,52,Michaelchester,East Morganton,Luxury,Avis,1.0,367.0,Partial,Confirmed,8320.0,9460.88
28522,273,Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,0.48,183.37,Rainbow,06/25/2020,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/25/2020,4You,John Evans,male,52,New Linda,Christopherbury,Hatchback,Sixt,1.0,273.0,Full-to-Full,Pending,2470.0,3242.67
28548,273,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,12/24/2020,Hotel K,Salvador (BH),1,263.41,263.41,12/24/2020,4You,John Evans,male,52,Scottton,Bernardchester,SUV,Sixt,2.0,444.0,Partial,Pending,5926.0,7154.24
28579,273,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,07/29/2021,Hotel AU,Recife (PE),4,312.83,1251.32,07/29/2021,4You,John Evans,male,52,South Ryanfort,New Adamhaven,SUV,Sixt,5.0,348.0,Prepaid,Cancelled,5058.0,6730.52
28593,273,Recife (PE),Sao Paulo (SP),firstClass,954.78,1.26,486.52,FlyingDrops,11-04-2021,Hotel AF,Sao Paulo (SP),4,139.1,556.4,11-04-2021,4You,John Evans,male,52,Lake Davidside,Shahfurt,Luxury,Enterprise,2.0,159.0,Prepaid,Pending,4319.0,5830.18
28608,273,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,02/17/2022,Hotel BD,Natal (RN),3,242.88,728.64,02/17/2022,4You,John Evans,male,52,North Monica,Michaelburgh,Hatchback,Enterprise,5.0,261.0,Prepaid,Pending,2553.0,3583.15
28609,273,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,02/24/2022,Hotel BP,Brasilia (DF),2,247.62,495.24,02/24/2022,4You,John Evans,male,52,Jacksonland,North Mariefurt,Sedan,Sixt,2.0,431.0,Prepaid,Confirmed,4785.0,6237.92
28643,274,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,02/27/2020,Hotel Z,Aracaju (SE),3,208.04,624.12,02/27/2020,4You,Alejandro Perry,male,61,Wilsonborough,Rodriguezshire,Sedan,Hertz,4.0,369.0,Partial,Pending,4317.0,5596.0
28802,274,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,0.48,183.37,CloudFy,03/16/2023,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,03/16/2023,4You,Alejandro Perry,male,61,Dorseyside,East Patricia,Luxury,Enterprise,3.0,316.0,Partial,Confirmed,7601.0,8390.93
28804,274,Brasilia (DF),Recife (PE),premium,559.13,0.63,242.21,Rainbow,03/30/2023,Hotel AU,Recife (PE),3,312.83,938.49,03/30/2023,4You,Alejandro Perry,male,61,Wendyfort,Francistown,Luxury,Hertz,3.0,408.0,Full-to-Full,Pending,9423.0,10920.62
28845,275,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,04/30/2020,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,04/30/2020,4You,Allen Strode,none,60,North Theresa,West Normatown,Hatchback,Sixt,2.0,347.0,Prepaid,Cancelled,3126.0,4376.0
28862,275,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,08/27/2020,Hotel BW,Campo Grande (MS),4,60.39,241.56,08/27/2020,4You,Allen Strode,none,60,South Jackview,Angelaview,SUV,Avis,3.0,368.0,Prepaid,Pending,5123.0,6197.33
28927,276,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,03-05-2020,Hotel BD,Natal (RN),2,242.88,485.76,03-05-2020,4You,Angela Shelby,none,26,New Patriciastad,Danielside,Hatchback,Sixt,1.0,287.0,Prepaid,Pending,2565.0,4484.11
28947,276,Aracaju (SE),Rio de Janeiro (RJ),premium,1007.72,1.55,597.61,CloudFy,07/23/2020,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/23/2020,4You,Angela Shelby,none,26,Hermanchester,Kingberg,SUV,Sixt,1.0,214.0,Full-to-Full,Confirmed,3104.0,4277.71
29072,277,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,11/21/2019,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/21/2019,4You,Fred Luescher,none,63,Smithtown,Martinezland,SUV,Avis,3.0,420.0,Full-to-Full,Confirmed,5729.0,6742.94
29117,278,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,04/16/2020,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/16/2020,4You,Willie Lopez,male,36,Contrerasstad,Charlesland,Sedan,Enterprise,3.0,341.0,Full-to-Full,Cancelled,3934.0,6557.91
29170,279,Recife (PE),Rio de Janeiro (RJ),premium,1351.89,2.3,885.57,Rainbow,11/14/2019,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/14/2019,4You,Mildred Jackson,female,49,East Richardland,North Larry,SUV,Hertz,1.0,179.0,Full-to-Full,Confirmed,2667.0,4682.85
29221,279,Aracaju (SE),Florianopolis (SC),economic,852.18,2.1,808.85,Rainbow,11-05-2020,Hotel A,Florianopolis (SC),3,313.02,939.06,11-05-2020,4You,Mildred Jackson,female,49,North Deniseberg,Bakerbury,SUV,Hertz,1.0,408.0,Full-to-Full,Pending,5432.0,7223.24
29222,279,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,11-12-2020,Hotel A,Florianopolis (SC),4,313.02,1252.08,11-12-2020,4You,Mildred Jackson,female,49,Cartermouth,New Linda,SUV,Avis,1.0,416.0,Partial,Cancelled,5510.0,7984.32
29232,279,Brasilia (DF),Natal (RN),premium,1107.52,1.43,550.69,Rainbow,01/21/2021,Hotel BD,Natal (RN),3,242.88,728.64,01/21/2021,4You,Mildred Jackson,female,49,Torresport,Port Patrickmouth,Luxury,Budget,1.0,316.0,Partial,Cancelled,7294.0,9130.16
29260,280,Brasilia (DF),Campo Grande (MS),economic,629.54,0.72,277.7,Rainbow,12-12-2019,Hotel BW,Campo Grande (MS),2,60.39,120.78,12-12-2019,4You,Stephen Diaz,male,26,Florestown,Kimberlychester,Sedan,Sixt,5.0,412.0,Prepaid,Pending,4816.0,5566.32
29275,280,Brasilia (DF),Natal (RN),premium,1107.52,1.43,550.69,Rainbow,03/26/2020,Hotel BD,Natal (RN),3,242.88,728.64,03/26/2020,4You,Stephen Diaz,male,26,Coleview,North Allen,Hatchback,Enterprise,5.0,325.0,Full-to-Full,Confirmed,3074.0,4910.16
29291,280,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,07/16/2020,Hotel A,Florianopolis (SC),2,313.02,626.04,07/16/2020,4You,Stephen Diaz,male,26,Michellestad,Hoopershire,SUV,Budget,4.0,219.0,Full-to-Full,Cancelled,3431.0,4946.11
29291,280,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,07/16/2020,Hotel A,Florianopolis (SC),2,313.02,626.04,07/16/2020,4You,Stephen Diaz,male,26,Holmesstad,Conniefort,Sedan,Enterprise,3.0,78.0,Full-to-Full,Pending,1300.0,2815.11
29338,280,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,06-10-2021,Hotel BD,Natal (RN),2,242.88,485.76,06-10-2021,4You,Stephen Diaz,male,26,Port Brianview,Port David,Luxury,Avis,1.0,279.0,Partial,Cancelled,6576.0,7695.47
29349,280,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,08/26/2021,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,08/26/2021,4You,Stephen Diaz,male,26,Parrishshire,West Edward,SUV,Hertz,4.0,112.0,Prepaid,Pending,2150.0,3927.13
29378,281,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,12/26/2019,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019,4You,Christopher Shultz,none,29,North Chrishaven,Port Joshua,SUV,Enterprise,3.0,437.0,Prepaid,Confirmed,5961.0,7645.85
29403,281,Recife (PE),Salvador (BH),economic,861.68,2.05,788.55,Rainbow,06/18/2020,Hotel K,Salvador (BH),2,263.41,526.82,06/18/2020,4You,Christopher Shultz,none,29,Angelaland,Lake Sandrabury,Sedan,Enterprise,3.0,346.0,Full-to-Full,Confirmed,3997.0,5385.5
29435,281,Aracaju (SE),Recife (PE),premium,875.41,1.44,555.74,Rainbow,01/28/2021,Hotel AU,Recife (PE),3,312.83,938.49,01/28/2021,4You,Christopher Shultz,none,29,Port Michaelbury,New Julie,Hatchback,Avis,2.0,431.0,Partial,Confirmed,3760.0,5573.9
29440,281,Aracaju (SE),Brasilia (DF),economic,548.62,1.11,425.98,Rainbow,03-04-2021,Hotel BP,Brasilia (DF),3,247.62,742.86,03-04-2021,4You,Christopher Shultz,none,29,Patriciaview,North Karen,Luxury,Avis,1.0,121.0,Full-to-Full,Cancelled,3402.0,4693.48
29459,281,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,07/15/2021,Hotel Z,Aracaju (SE),3,208.04,624.12,07/15/2021,4You,Christopher Shultz,none,29,Lake John,Grimesmouth,Luxury,Hertz,4.0,306.0,Prepaid,Confirmed,7561.0,9172.19
29543,281,Aracaju (SE),Recife (PE),firstClass,1088.87,1.44,555.74,FlyingDrops,02/23/2023,Hotel AU,Recife (PE),2,312.83,625.66,02/23/2023,4You,Christopher Shultz,none,29,Davidsonmouth,New Johnny,Hatchback,Budget,3.0,193.0,Partial,Pending,1939.0,3653.53
29564,282,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,12-12-2019,Hotel K,Salvador (BH),1,263.41,263.41,12-12-2019,4You,Shirley Griffin,none,36,Aliciaville,Hullhaven,SUV,Avis,4.0,385.0,Partial,Pending,5418.0,6970.46
29683,284,Recife (PE),Sao Paulo (SP),premium,657.87,1.26,486.52,CloudFy,02-06-2020,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02-06-2020,4You,Adam Pittman,male,32,West Leahtown,East Kevinbury,Luxury,Sixt,2.0,136.0,Full-to-Full,Cancelled,3851.0,4926.17
29843,284,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,03-02-2023,Hotel K,Salvador (BH),3,263.41,790.23,03-02-2023,4You,Adam Pittman,male,32,Shawnside,East Amanda,SUV,Avis,3.0,384.0,Full-to-Full,Confirmed,5318.0,7832.72
29867,285,Brasilia (DF),Sao Paulo (SP),firstClass,904.0,0.67,257.81,FlyingDrops,01/23/2020,Hotel AF,Sao Paulo (SP),3,139.1,417.3,01/23/2020,4You,Barbara Gannaway,none,33,Juliaton,West Joshua,SUV,Budget,2.0,292.0,Prepaid,Pending,4105.0,5426.3
29876,285,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,03/26/2020,Hotel BP,Brasilia (DF),2,247.62,495.24,03/26/2020,4You,Barbara Gannaway,none,33,Patrickmouth,Mitchellton,Sedan,Sixt,3.0,235.0,Prepaid,Confirmed,2877.0,4329.92
29965,286,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,01-09-2020,Hotel AF,Sao Paulo (SP),3,139.1,417.3,01-09-2020,4You,Ellen Hanks,female,43,New Frank,North Tyler,SUV,Hertz,1.0,231.0,Prepaid,Cancelled,3291.0,4438.73
30071,287,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,09-02-2021,Hotel BW,Campo Grande (MS),4,60.39,241.56,09-02-2021,4You,Bradley Barone,none,39,Erinhaven,Port Rita,SUV,Sixt,2.0,483.0,Partial,Pending,6425.0,7498.26
30071,287,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,09-02-2021,Hotel BW,Campo Grande (MS),4,60.39,241.56,09-02-2021,4You,Bradley Barone,none,39,West Brad,Klinechester,Luxury,Hertz,3.0,124.0,Full-to-Full,Cancelled,3757.0,4830.26
30119,287,Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,0.48,183.37,Rainbow,08-04-2022,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,08-04-2022,4You,Bradley Barone,none,39,West Davidport,Mathisport,Hatchback,Enterprise,1.0,396.0,Partial,Pending,3463.0,4332.01
30119,287,Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,0.48,183.37,Rainbow,08-04-2022,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,08-04-2022,4You,Bradley Barone,none,39,Sparksbury,Lake Frank,Luxury,Sixt,4.0,466.0,Prepaid,Confirmed,10750.0,11619.01
30140,287,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,12/29/2022,Hotel K,Salvador (BH),1,263.41,263.41,12/29/2022,4You,Bradley Barone,none,39,Smithborough,Williamsport,Hatchback,Enterprise,1.0,227.0,Partial,Pending,2096.0,3706.01
30219,288,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,12/24/2020,Hotel A,Florianopolis (SC),1,313.02,313.02,12/24/2020,4You,Bryan Bowers,none,23,Robertland,West Becky,Luxury,Hertz,5.0,153.0,Partial,Cancelled,4632.0,6134.34
30274,288,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,01/13/2022,Hotel AF,Sao Paulo (SP),3,139.1,417.3,01/13/2022,4You,Bryan Bowers,none,23,West Andretown,Jackmouth,Hatchback,Avis,5.0,278.0,Partial,Confirmed,2715.0,3579.03
30275,288,Recife (PE),Sao Paulo (SP),firstClass,980.83,1.26,486.52,Rainbow,01/20/2022,Hotel AF,Sao Paulo (SP),3,139.1,417.3,01/20/2022,4You,Bryan Bowers,none,23,West Seanmouth,Port Lindaview,Hatchback,Sixt,5.0,189.0,Full-to-Full,Pending,2006.0,3404.13
30325,289,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,09-03-2020,Hotel BD,Natal (RN),1,242.88,242.88,09-03-2020,4You,Ethel Duffy,female,34,East John,New Daniel,Hatchback,Enterprise,3.0,337.0,Partial,Pending,3089.0,3881.84
30350,289,Recife (PE),Aracaju (SE),firstClass,1166.1,1.44,555.74,CloudFy,02/25/2021,Hotel Z,Aracaju (SE),3,208.04,624.12,02/25/2021,4You,Ethel Duffy,female,34,New Douglas,Phillipsburgh,Sedan,Enterprise,2.0,205.0,Prepaid,Cancelled,2536.0,4326.22
30390,289,Aracaju (SE),Recife (PE),firstClass,1119.47,1.44,555.74,Rainbow,12-02-2021,Hotel AU,Recife (PE),1,312.83,312.83,12-02-2021,4You,Ethel Duffy,female,34,Lake Markbury,West Alicia,Luxury,Sixt,5.0,80.0,Full-to-Full,Cancelled,3166.0,4598.3
30427,290,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,12-12-2019,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12-12-2019,4You,Kristina Miller,none,43,Smithborough,Moranfurt,Luxury,Budget,2.0,179.0,Partial,Cancelled,4697.0,5799.35
30489,290,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,02/18/2021,Hotel BD,Natal (RN),1,242.88,242.88,02/18/2021,4You,Kristina Miller,none,43,Anthonyside,South Jenniferhaven,Sedan,Budget,5.0,367.0,Partial,Pending,4338.0,5214.59
30503,290,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,05/27/2021,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/27/2021,4You,Kristina Miller,none,43,New Hector,North Jean,Sedan,Budget,5.0,347.0,Prepaid,Confirmed,4136.0,4927.26
30546,290,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,03/24/2022,Hotel BD,Natal (RN),1,242.88,242.88,03/24/2022,4You,Kristina Miller,none,43,Lake Daniel,Nortonbury,Luxury,Avis,1.0,400.0,Prepaid,Pending,8990.0,9782.84
30621,291,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,03-12-2020,Hotel A,Florianopolis (SC),1,313.02,313.02,03-12-2020,4You,Larry Dupree,male,36,Amandaberg,West Craig,Hatchback,Budget,1.0,304.0,Prepaid,Cancelled,2708.0,4153.83
30621,291,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,03-12-2020,Hotel A,Florianopolis (SC),1,313.02,313.02,03-12-2020,4You,Larry Dupree,male,36,Harrismouth,Dillonmouth,Sedan,Sixt,2.0,440.0,Partial,Confirmed,4880.0,6325.83
30668,292,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,11/21/2019,Hotel K,Salvador (BH),4,263.41,1053.64,11/21/2019,4You,Theodore Carter,none,36,Francisbury,Port Michaelton,Sedan,Budget,5.0,390.0,Prepaid,Confirmed,4590.0,7368.13
30669,292,Recife (PE),Florianopolis (SC),economic,803.39,1.76,676.53,Rainbow,11/28/2019,Hotel A,Florianopolis (SC),2,313.02,626.04,11/28/2019,4You,Theodore Carter,none,36,New Michael,Lake Jeffreyland,Hatchback,Avis,5.0,107.0,Partial,Confirmed,1318.0,2747.43
30671,292,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,12-12-2019,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,12-12-2019,4You,Theodore Carter,none,36,South Jeremy,North Shariburgh,SUV,Budget,3.0,419.0,Full-to-Full,Cancelled,5743.0,8018.1
30677,292,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,01/23/2020,Hotel BP,Brasilia (DF),3,247.62,742.86,01/23/2020,4You,Theodore Carter,none,36,Jeffreymouth,Lake Aaron,Luxury,Avis,1.0,220.0,Full-to-Full,Confirmed,5399.0,6581.24
30758,293,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,01/23/2020,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,01/23/2020,4You,Jeffrey Matthews,none,55,Strongshire,Davischester,Sedan,Budget,4.0,415.0,Partial,Pending,4746.0,5893.61
